Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
1.28,4.84,4.83999999999999,4.83999999999999,4.83999999999999,4.84,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,0
1.29,4.87,4.86999999999999,4.86999999999999,4.86999999999999,4.87,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,8.88178419700125e-16
1.3,4.9,4.9,4.9,4.9,4.9,5.32907051820075e-15,5.32907051820075e-15,5.32907051820075e-15,8.88178419700125e-16
1.31,4.93,4.93,4.93,4.93,4.93,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,0
1.32,4.96,4.96,4.96,4.96,4.96,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,8.88178419700125e-16
1.33,4.99,4.99,4.99,4.99,4.99,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,0
1.34,5.02,5.02,5.02,5.02,5.02,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,8.88178419700125e-16
1.35,5.05,5.05,5.05,5.05,5.05,4.44089209850063e-15,4.44089209850063e-15,4.44089209850063e-15,8.88178419700125e-16
1.36,5.08,5.08,5.08,5.08,5.08,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,0
1.37,5.11,5.11,5.11,5.11,5.11,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16
1.38,5.14,5.14,5.14,5.14,5.14,3.5527136788005e-15,3.5527136788005e-15,3.5527136788005e-15,8.88178419700125e-16
1.39,5.17,5.17,5.17,5.17,5.17,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,8.88178419700125e-16
1.4,5.2,5.2,5.2,5.2,5.2,2.66453525910038e-15,2.66453525910038e-15,2.66453525910038e-15,8.88178419700125e-16
1.41,5.23,5.23,5.23,5.23,5.23,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.42,5.26,5.26,5.26,5.26,5.26,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.43,5.29,5.29,5.29,5.29,5.29,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,8.88178419700125e-16
1.44,5.32,5.32,5.32,5.32,5.32,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15
1.45,5.35,5.35,5.35,5.35,5.35,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16
1.46,5.38,5.38,5.38,5.38,5.38,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16
1.47,5.41,5.41,5.41,5.41,5.41,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16
1.48,5.44,5.44,5.44,5.44,5.44,0,0,0,8.88178419700125e-16
1.49,5.47,5.47,5.47,5.47,5.47,0,0,0,8.88178419700125e-16
1.5,5.5,5.5,5.5,5.5,5.5,0,0,0,8.88178419700125e-16
1.51,5.53,5.53,5.53,5.53,5.53,0,0,0,8.88178419700125e-16
1.52,5.56,5.56,5.56,5.56,5.56,0,0,0,1.77635683940025e-15
1.53,5.59,5.59,5.59,5.59,5.59,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16
1.54,5.62,5.62,5.62,5.62,5.62,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16
